Text,Entity Type,Label1,Label2,Final Label
"`Arrays.asList(...)` will give you a `List` backed by an array, so it cannot change length.",Arrays: utility class; List: interface;,"T, T","T, T","T, T"
"*Implementation detail: It's a private nested class inside `java.util.Arrays`, named `ArrayList`, which is a different class from `java.util.ArrayList`, even though their simple names are the same.*",java.util.Arrays: concrete class; java.util.ArrayList: concrete class;,"T, T","T, T","T, T"
"Correction: For an existing list in some variable, then you get an unmodifiable view list by passing it in the `Collections.unmodifiableList()` constructor, but `List.of` will always give you an ""immutable"" or unmodifiable list that is not a view.",Collections.unmodifiableList: concrete class; List.of: static method;,"F, T","F, T","F, T"
"Only `List.copyOf` is structurally unmodifiable and *not* a view collection (like `unmodifiableList` or `List.of` is), so its structure cannot be changed.",List.copyOf: static method; unmodifiableList: none; List.of: static method;,"T, T, T","T, T, T","T, T, T"
"The above results in a compiler error, because `List<B>` (which is what is returned by `Arrays.asList`) is not a subclass of `List<A>`, even though you can add Objects of type `B` to a `List<A>` object.",List: interface; Arrays: utility class;,"T, T","T, T","T, T"
Any calls to `Arrays.asList()` with zero arguments or only one argument could be replaced with either a call to `Collections.singletonList()` or `Collections.emptyList()` which will save some memory.,Arrays.asList: concrete class; Collections.singletonList: concrete class; Collections.emptyList: concrete class;,"F, F, F","F, F, F","F, F, F"
"Note: the list returned by `Collections.singletonList()` is immutable, while the list returned `Arrays.asList()` allows calling the `set()` method.",Collections.singletonList: static method; Arrays.asList: static method; set: method,"T, T, T","T, T, T","T, T, T"
"Differences between TreeMap, HashMap, and LinkedHashMap in Java",TreeMap: concrete class; HashMap: concrete class; LinkedHashMap: concrete class;,"T, T, T","T, T, F","T, T, T"
"The reason being that if you're in an interruptible blocking call (like `Thread.sleep` or using java.nio Channel operations), you'll actually be able to break out of those right away.",Thread.sleep: static method; java.nio.Channel: abstract class;,"T, T","T, T","T, T"
"Like I said, the main advantage to `Thread.interrupt()` is that you can immediately break out of interruptible calls, which you can't do with the flag approach.",Thread.interrupt: method,T,T,T
"To clarify, if this `while` condition is going to be the sole way to stop the thread, then any `catch` block needs to call `Thread.currentThread().interrupt();` in order to maintain the interrupted status for the `while` condition.",Thread.currentThread: concrete class; interrupt: method; Thread.currentThread.interrupt: method;,"F, T, F","F, T, F","F, T, F"
Blocking library methods like `Thread.sleep` and `Object.wait` try to detect when a thread has been interrupted and return early.,Thread.sleep: static method; Object.wait: instance method;,"T, T","T, T","T, T"
Brian Goetz in his book suggests using `Thread.currentThread().isInterrupted()` flag and `interrupt()` method for cancellation.,Thread.currentThread: concrete class; Thread.isInterrupted: concrete class; Thread.interrupt: concrete class; currentThread.isInterrupted: none; currentThread.interrupt: none; isInterrupted.interrupt: none;,"F, F, F, F, F, T","T, F, F, F, F, T","F, F, F, F, F, T"
thread will continue its work until it reaches `Thread.currentThread().isInterrupted()` check and exit from `run()`.,Thread: concrete class; Thread.currentThread: static method; isInterrupted: instance method; run: instance method; Thread.currentThread.isInterrupted: instance method; Thread.currentThread.run: instance method;,"T, T, T, T, F, F","T, T, T, T, F, F","T, T, T, T, F, F"
"Edit: I'm now using `Arrays.asList` instead of `Collections.singleton`: singleton is limited to one entry, whereas the `asList` approach allows you to add other strings to filter out later: `Arrays.asList(""a"", ""b"", ""c"")`.",Arrays.asList: static method; Collections.singleton: static method;,"T, T","T, T","T, T"
"Make a `List` out of the array with `Arrays.asList()`, and call `remove()` on all the appropriate elements.",List: interface; Arrays.asList: static method; remove: method,"T, T, T","T, T, T","T, T, T"
Use System.arraycopy repeatedly to copy each group of items you wish to retain into your new Array.,System.arraycopy: static method,T,T,T
"solution: Iterate over your array and whenever you find an element to remove (let's call it element n), use System.arraycopy to copy the tail of the array over the ""deleted"" element (Source and Destination are same array)--it is smart enough to do the copy in the correct direction so the memory doesn't overwrite itself:",System.arraycopy: static method,T,T,T
"The `IllegalAccessException` would be thrown if the field was not accessible (for example, if it is private and has not been made accessible via missing out the `f.setAccessible(true)` line.",IllegalAccessException: concrete class; setAccessible: method,"T, T","T, F","T, T"
"Of course, now you have to find out the `java.lang.reflect.Field` for `sString` prior to setting the field value.",java.lang.reflect.Field: concrete class; sString: none;,"T, T","T, T","T, T"
Basically on an `ExecutorService` you call `shutdown()` and then `awaitTermination()`:,"ExecutorService: interface; shutdown: method; awaitTermination: method; shutdown, awaitTermination: none;","T, T, T, F","T, T, T, F","T, T, T, F"
"Note that `executorService.invokeAll` will wait for all threads to complete, but you will still need to call `executorService.shutdown` to clean up your thread pool.",executorService.invokeAll: method; executorService.shutdown: method;,"T, T","T, T","T, T"
".get() on each Future one at a time, instead of infinite looping calling isDone() on (all or each).",Future: interface; isDone: method; get: method;,"T, T, T","T, T, T","T, T, T"
"While you can use `executor.shutdown()` and `executor.awaitTermination()`, it is not the best practice as the time taken by different threads would be unpredictable.",executor.shutdown: concrete method; executor.awaitTermination: concrete method;,"F, F","F, F","F, F"
"The way you're doing it, there's no guarantee that `sock.close()` will be reached because you catch only `Exception` and not all `Throwable`s.",Exception: concrete class; Throwable: concrete class;,"T, T","T, T","T, T"
Long.valueOf() should be preferred: it returns cached values of Long for some often-used values instead of constructing a new instance as the constructor does.,Long.valueOf: static method,T,T,T
"**Difference between Long.getLong(s), Long.valueOf(s), Long.parseLong(s) where ""s"" is a String Type**",Long.getLong: static method; Long.valueOf: static method; Long.parseLong: static method;,"T, T, T","T, T, T","T, T, T"
"Using `str.subSequence(begin, end)` returns a CharSequence which is a read-only form of the string represented as a sequence of chars.",String: concrete class; CharSequence: interface;,"T, T","T, T","T, T"
"In Java 1.4, `CharSequence` was added, and somebody apparently realized that it would be useful to have the same functionality there, but which returned a `CharSequence` instead of `String` (for flexibility).",CharSequence: interface; String: concrete class;,"T, T","T, T","T, T"
Difference between subSequence and subString methods in java String class,subSequence: method; subString: method; String: class;,"T, F, T","T, F, T","T, F, T"
"@Calum and @Pool - as noted below in Alex Miller's answer, using `Arrays.asList(array)` without passing it into a new `ArrayList` object will fix the size of the list.",Arrays: utility class; ArrayList: concrete class;,"T, T","T, T","T, T"
"To clarify, `Arrays.asList()` creates a `java.util.Arrays.ArrayList` (static nested class in `java.util.Arrays`), not a `java.util.ArrayList`.",java.util.Arrays.asList: static method; java.util.Arrays.ArrayList: static nested class; java.util.ArrayList: concrete class;,"T, T, T","T, T, T","T, T, T"
Use the `ImmutableList` class and its `of()` and `copyOf()` factory methods (elements can't be null):,ImmutableList: concrete class; of: static method; copyOf: static method;,"T, T, T","T, T, T","T, T, T"
"Use the JDK's `Arrays` class and its `asList()` factory method, wrapped with a `Collections.unmodifiableList()`:",java.util.Arrays: concrete class; java.util.Collections: concrete class; java.util.Collections.unmodifiableList: static method; java.util.Arrays.asList: static method; java.util.Collections.unmodifiableList: static method; java.util.Arrays.asList: static method;,"T, F, T, T, T, T","T, F, T, T, T, T","T, F, T, T, T, T"
"Note that the returned type for `asList()` is a `List` using a concrete `ArrayList` implementation, but **it is NOT** `java.util.ArrayList`.",java.util.List: interface; java.util.ArrayList: concrete class;,"T, T","T, T","T, T"
Thus this list isn't truly immutable and a call to `asList()` should be wrapped with `Collections.unmodifiableList()`.,Collections.unmodifiableList: static method,T,T,T
"I don't think so, the 2 options are valid but the Arrays.stream is slightly 'better' since you can create it with fixed size, using the overload method with 'start', 'end' args.",Arrays.stream: static method,T,T,T
It creates a kind of ArrayList named Arrays.ArrayList where the Object[] data points directly to the array.,ArrayList: concrete class; Object: concrete class;,"T, F","T, F","T, F"
I fail to see the fundamental difference between your loop at the end of the answer and the new ArrayList<T>(Arrays.asList(myArray)); part which you discourage to use.,ArrayList: concrete class; Arrays: utility class;,"T, T","T, T","T, T"
"`new ArrayList<T>(Arrays.asList(myArray));` does the same, it copies the `asList` to an `ArrayList`.",ArrayList: concrete class; Arrays: utility class; asList: static method;,"T, T, T","T, T, T","T, T, T"
"If you say `String.valueOf(i)`, Java converts the integer to a string and returns the result.",String.valueOf: static method;,T,T,T
"Both of the ways are correct, but using `String.valueOf(i)` or `Integer.toString(i)` is more efficient than `"""" + i`.",String.valueOf: static method; Integer.toString: static method;,"T, T","T, T","T, T"
As already pointed out `Integer.toString()` or `String.valueOf()` are the way to go.,Integer.toString: static method; String.valueOf: static method;,"T, T","T, T","T, T"
"`Integer.toString(i)` and `String.valueOf(i)` are basically identical in performance, with `Integer.toString(i)` being a tiny bit faster.",Integer.toString: static method; String.valueOf: static method;,"T, T","T, T","T, T"
"* well you miss an important piece, in that String.valueOf and Integer.toString always create a new String object, while """" + int uses String pool.",String.valueOf: static method; Integer.toString: static method;,"T, T","T, T","T, T"
"In `java.util.concurrent.FutureTask`, the mechanism of cancellation by timeout is acted as throwing `TimeoutException`.",java.util.concurrent.FutureTask: concrete class; TimeoutException: exception class;,"T, T","T, T","T, T"
`io.Source.stdin` is defined (in `scala.io.Source` class) as `def stdin = fromInputStream(System.in)` so probably it's better to stick with the `io.Source.stdin`.,scala.io.Source.stdin: method,T,T,T
"You can force it to materialize using `.toStream` or `.toList` on it, depends on the use case.",toStream: none; toList: none;,"F, F","F, F","F, F"
"As noted briefly in other comments, `scala.Predef.readLine()` is deprecated since Scala 2.11.0, and you can replace it with `scala.io.StdIn.readLine()`.",scala.Predef.readLine: none; scala.io.StdIn.readLine: concrete class;,"T, F","T, F","T, F"
"The Queue interface extends java.util.Collection with additional insertion, extraction, and inspection operations like:",Queue: interface; java.util.Collection: interface;,"T, T","T, T","T, T"
"Note, `IdentityHashMap` `entrySet` iterator currently has a peculiar implementation which returns the same `Map.Entry` instance for every item in the `entrySet`!",IdentityHashMap: concrete class; entrySet: method; Map.Entry: interface,"T, T, T","T, T, T","T, T, T"
Using `entrySet` with EC `Map` implementations results in `Map.Entry` objects being generated dynamically.,entrySet: method; Map: interface; Map.Entry: interface;,"T, T, T","T, T, T","T, T, T"
The `forEachKeyValue` method is able to avoid creating the `Map.Entry` objects because it can navigate the internal structure of the `Map` implementations directly.,Map: interface; Map.Entry: interface,"T, T","T, T","T, T"
"The official way to do this is to call `map.entrySet()`, which returns a set of `Map.Entry`, each of which contains a key and a value (`entry.getKey()` and `entry.getValue()`).",java.util.Map.entrySet: method; java.util.Map.Entry: interface; java.util.Map.Entry.getKey: method; java.util.Map.Entry.getValue: method;,"T, T, T, T","T, T, T, T","T, T, T, T"
"In an idiosyncratic implementation, it might make some difference whether you use `map.keySet()`, `map.entrySet()` or something else.",keySet: method; entrySet: method;,"T, T","T, T","T, T"
In Java 1.8 (Java 8) this has become a lot easier by using the `forEach` method from Aggregate operations (Stream operations) that looks similar to iterators from the `Iterable` Interface.,forEach (Stream): method; forEach (Iterable): method; Stream (Iterable): none;,"T, T, F","T, T, T","T, T, F"
Date.before() and Date.after() seem to be a little awkward to use.,Date.before: none; Date.after: none;,"F, F","F, F","F, F"
Supplants the old troublesome classes including `java.util.Date/.Calendar` and `SimpleDateFormat`.,java.util.Date: concrete class; java.util.Calendar: abstract class; SimpleDateFormat: concrete class;,"T, T, T","T, T, T","T, T, T"
"If getting `java.sql.Timestamp` objects through JDBC from a database, convert to java.time.Instant in a similar way.",java.sql.Timestamp: concrete class; java.time.Instant: concrete class;,"T, T","T, T","T, T"
"(B) The troublesome old classes such as `java.util.Date` and `java.util.Calendar` are now legacy, supplanted by the java.time classes.",java.util.Date: concrete class; java.util.Calendar: concrete class; java.time: package,"T, T, T","T, T, T","T, T, T"
"If is required to consider inclusive endDate, *testDate.before(endDate)* returns false when testDate and endDate are the same day, we can use ""apache commons lang"" package to verify this (org.apache.commons.lang.time.DateUtils).",org.apache.commons.lang.time.DateUtils: concrete class,T,T,T
"The `TreeMap.putAll` method (and the TreeMap constructor that takes a SortedMap) calls a method called `buildFromSorted` internally, which is described in the docs as: ""Linear time tree building algorithm from sorted data"", so that sounds like it does what you want.",TreeMap.putAll: method; TreeMap: concrete class; SortedMap: interface; buildFromSorted: none;,"T, T, T, F","T, T, T, F","T, T, T, F"
"Just give the `putAll` method something that implements Map, but where the map's entryset iterator (`Map.entrySet().iterator()`) returns your list of sorted values.",putAll: method; Map: interface; Map.entrySet: method; Map.entrySet().iterator: method;,"T, T, T, T","T, T, T, T","T, T, T, T"
I am trying to use a `java.util.Date` as input and then creating a query with it - so I need a `java.sql.Date`.,java.util.Date: concrete class; java.sql.Date: concrete class;,"T, T","T, T","T, T"
* Use *java.time* classes instead of legacy `java.util.Date` & `java.sql.Date` with JDBC 4.2 or later.,java.time: package; java.util.Date: concrete class; java.sql.Date: concrete class,"T, T, T","T, T, T","T, T, T"
"If you are trying to work with date-only values (no time-of-day, no time zone), use the `LocalDate` class rather than `java.util.Date`.",LocalDate: concrete class; java.util.Date: concrete class;,"T, T","T, T","T, T"
"If your JDBC driver complies with JDBC 4.2 spec, you should be able to pass a `LocalDate` via `setObject` on a `PreparedStatement` to store into a SQL DATE field.",LocalDate: concrete class; PreparedStatement: interface;,"T, T","T, T","T, T"
But note that `Instant` has a resolution up to nanoseconds while `java.util.Date` has only milliseconds resolution.,java.time.Instant: concrete class; java.util.Date: concrete class;,"T, T","T, T","T, T"
"Converting `java.util.Date` to `java.sql.Date` will lose hours, minutes and seconds.",java.util.Date: concrete class; java.sql.Date: concrete class;,"T, T","T, T","T, T"
* `valueOf` returns a new or cached instance of `java.lang.Integer`,valueOf: static method; java.lang.Integer: concrete class;,"T, T","T, T","T, T"
The `Integer` class also provides the `valueOf(String str)` method:,Integer: concrete class; valueOf: static method;,"T, T","T, T","T, T"
"Google Guava has Ints.tryParse(String), which returns `null` if the string couldn't be parsed, for example:",Ints.tryParse: static method; String: class,"T, T","T, T","T, T"
"But the thing here is, the method `Integer.valueOf()` has the following implementation in `Integer` class:",Integer.valueOf: static method; Integer: concrete class;,"T, T","T, T","T, T"
"As you can see, the `Integer.valueOf()` internally calls `Integer.parseInt()` itself.",Integer.valueOf: static method; Integer.parseInt: static method;,"T, T","T, T","T, T"
You can use `Collections.list()` to convert an `Enumeration` to a `List` in one line:,Collections.list: concrete method; Enumeration: interface; List: interface;,"T, T, T","T, T, T","T, T, T"
"If you need `Set` rather than `List`, you can use `EnumSet.allOf()`.",Set: none; List: none; EnumSet: concrete class,"F, F, T","F, F, T","F, F, T"
I want to convert a `java.util.Date` object to a `String` in Java.,java.util.Date: concrete class; String: concrete class;,"T, F","T, F","T, F"
Convert a **Date** to a **String** using `DateFormat#format` method:,Date: concrete class; DateFormat: abstract class;,"T, T","T, T","T, T"
"These classes supplant the troublesome old date-time classes such as `java.util.Date`, `.Calendar`, & `java.text.SimpleDateFormat`.",java.util.Date: concrete class; java.util.Calendar: abstract class; java.text.SimpleDateFormat: concrete class,"T, T, T","T, T, T","T, T, T"
"In Java 8, a call like `Instant.now().atOffset(ZoneOffset.UTC).toString()` will run.",Instant: concrete class; ZoneOffset: concrete class;,"T, T","T, T","T, T"
"You can find out about this by reading the documentation of `List.add()`, which documents this to be an ""(optional operation)"".",List.add(): method,T,T,T
"Many of the List implementation support limited support to add/remove, and `Arrays.asList(membersArray)` is one of that.",List: interface; Arrays.asList: static method;,"T, T","T, T","T, T"
You need to insert the record in `java.util.ArrayList` or use the below approach to convert into `ArrayList`.,java.util.ArrayList: concrete class;,T,T,T
"From the above Source you may observe that `java.util.Arrays.ArrayList` class doesn't `@Override add(index, element), set(index, element), remove(index)`.",java.util.Arrays: utility class; java.util.ArrayList: concrete class;,"F, T","F, T","F, T"
You will also get this exception if you attempt to `add` to a `List<T>` returned by `Collections.singletonList(T o)`:,List: interface; Collections: class; singletonList: method;,"T, T, T","T, T, T","T, T, T"
"List `membersList = Arrays.asList(membersArray);` returns immutable list, what you need to do is `new ArrayList<>(Arrays.asList(membersArray));` to make it mutable.",Arrays: utility class; ArrayList: concrete class;,"F, T","F, T","F, T"
The reason for the UnsupportedOperationException is because the Arrays.asList() method returns a fixed-size list backed by the original array.,UnsupportedOperationException: concrete class; Arrays.asList: static method;,"F, T","F, T","F, T"
List.addAll throwing UnsupportedOperationException when trying to add another list,List: interface; UnsupportedOperationException: concrete class;,"F, F","F, F","F, F"
just to provide more info related to FLUSH and Close method related to FileOutputStream:,FileOutputStream: concrete class; FLUSH: none; Close: none;,"T, F, F","T, F, F","T, F, F"
"In Servlet you can get this header's value by `request.getContentLength()` or `reqest.getHeaders(""Content-Length"")`.",getContentLength: concrete method; getHeaders: concrete method;,"T, T","T, T","T, T"
"To do that, you can do `exception.printStackTrace()` and look at the ""Caused By:"" section instead of the top half/normal section.",printStackTrace: concrete method,T,T,T
Imagine I have a cascade of `java.lang.reflect.Proxy` instances augmenting a wrapped object.,java.lang.reflect.Proxy: concrete class;,T,T,T
"The ""target exception"" that is provided at construction time and accessed via the getTargetException() method is now known as the cause, and may be accessed via the Throwable.getCause() method, as well as the aforementioned ""legacy method.""",Throwable.getCause: concrete class method;,F,F,F
You can compare with the original exception Class using getCause() method like this:,Exception: concrete class; getCause: method,"F, T","F, T","F, T"
I had a `java.lang.reflect.InvocationTargetException` error from a statement calling a logger object in an external `class` inside a `try` / `catch` block in my `class`.,java.lang.reflect.InvocationTargetException: exception class; class: none; try: none; catch: none;,"T, F, F, F","T, F, F, F","T, F, F, F"
I used `e.getCause().getCause()` then I found that it was because of wrong parameters I was passing.,e.getCause(): concrete method; getCause(): concrete method,"T, T","T, T","T, T"
"You can use a `java.util.LinkedList` - it's doubly-linked and circular, so adding to one end and taking from the other are O(1).",java.util.LinkedList: concrete class;,T,T,T
"If you want to implement your own model you should consider inheritance, annotation interface `com.fasterxml.jackson.annotation.JsonTypeInfo` and annotation interface `com.fasterxml.jackson.annotation.JsonSubTypes`.",com.fasterxml.jackson.annotation.JsonTypeInfo: annotation interface; com.fasterxml.jackson.annotation.JsonSubTypes: annotation interface;,"T, T","T, T","T, T"
"> equals(Object) method, then calling the hashCode method on each of",equals: method; hashCode: method;,"T, T","T, T","T, T"
"The java.time API introduced with Java-8 (March 2014) supplants the error-prone and outdated `java.util` and their formatting API, `SimpleDateFormat`.",java.time: package; java.util: package; SimpleDateFormat: concrete class;,"T, T, T","T, T, T","T, T, T"
"You can then use `Collections.sort(List)` or just switch from your `List` to a `SortedSet` implementation like `TreeSet` (if you don't need duplicates, a `Set` drops duplicates)",Collections.sort: static method; List: interface; SortedSet: interface; TreeSet: concrete class; Set: interface,"T, T, T, T, T","T, T, T, T, T","T, T, T, T, T"
"Write a `java.util.Comparator` to define an **imposed ordering** and call `Collections.sort(List, Comparator)` or (losing duplicates again) go for a `new TreeSet(Comparator)`.",java.util.Comparator: interface; Collections.sort: method; TreeSet: class;,"T, T, T","T, T, T","T, T, T"
You can call `Collections.sort()` providing a `Comparator` which compares the `getCountry()`.,Collections.sort: static method; Comparator: functional interface;,"T, T","T, T","T, T"
What's the difference between Thread start() and Runnable run(),Thread: concrete class; Runnable: functional interface;,"T, T","T, T","T, T"
`Thread.start()` is required to actually create a new thread so that the runnable's `run` method is executed in parallel.,Thread.start: concrete method; Runnable.run: abstract method;,"T, T","T, T","T, T"
"The difference is that `Thread.start()` starts a thread that calls the `run()` method, while `Runnable.run()` just calls the `run()` method on the current thread.",Thread.start: concrete class method; Runnable.run: interface method;,"T, T","T, T","T, T"
"`Thread.start()` calls the `run()` method asynchronously, which changes the state of the new Thread to Runnable.",Thread.start: concrete method; Thread.run: concrete method;,"T, F","T, F","T, F"
"Most of these answers miss the big picture, which is that, as far as the Java language is concerned, there is no more difference between `t.start()` and `r.run()` than there is between any other two methods.",Thread.start: concrete class method; Runnable.run: interface method;,"F, T","F, T","F, T"
