Sentence, Entity,Label 1,Label 2,Final
"You can also set the Currency object to use for formatting a number as a currency, using the setCurrency() method on the NumberFormat class.",numberformat: class; setcurrency(): method,"T, T","T, T","T, T"
Unreferenced classes are not loaded until the time they are referenced.,classes: class,F,F,F
Before you can serialize and de-serialize objects the class of the object must implement java.io.Serializable.,java.io.serializable: interface,T,T,T
You can set the value of an AtomicLong instance via the set() method.,atomiclong: class; set(): method,F,F,F
Nor does wait() make any guarantees about what thread is awakened when notify() is called.,wait(): method; notify(): method,"T, T","T, T","T, T"
"As you can see, accessing a variable from an interface is very similar to accessing a static variable in a class.",interface: interface; class: class,F,F,F
The map() method will be covered in more detail later on.,map(): method,F,T,T
Two new parameters have been added to the addInfo() method and the constructor of the EnrichableException.,addinfo(): method; enrichableexception: class,F,F,F
This would happen sometime at runtime - depending on when the application tried to use the missing class.,class: class,F,F,F
The instanceof instruction can determine whether a given object is an instance of some class.,instanceof: method; class: class,F,F,F
"Since the Java BufferedOutputStream is a subclass of OutputStream, you can write arrays of bytes to the BufferedOutputStream too, instead of just a single byte at a time.",bufferedoutputstream: class; outputstream: class,"T, T","T, T","T, T"
The Constructor[] array will have one Constructor instance for each public constructor declared in the class.,constructor: class,F,F,F
"As you can see, the IObjectFactory only contains a single method named instance().",iobjectfactory: interface; instance(): method,"T, T","T, T","T, T"
"System.in is not used as often since data is commonly passed to a command line Java application via command line arguments, files, or possibly via network connections if the application is designed for that.",system.in: class,F,F,F
"Notice how the synchronized(queueObject) with its queueObject.wait() call is nested inside the synchronized(this) block, resulting in the nested monitor lockout problem.",synchronized: method; wait: method,"T, T","T, T","T, T"
Here are the two Java interfaces implemented by the class above:,java: interface,F,F,F
"The com.itextpdf.text.Chunk class in IText represents the smallest possible ""chunk"" of text.",,F,F,F
"The Java OutputStreamWriter also has alternative constructors that allow you to specify the character set (ISO-Latin1, UTF-8, UTF-16 etc.)",outputstreamwriter: class,T,T,T
The second parameter to the getNow() method is the domain name of the remote HTTP server to connect to.,getnow(): method,T,T,T
"You can check if a File object points to a file or directory, by calling its isDirectory() method.",file: class; isdirectory(): method,"T, T","T, T","T, T"
"I have described the java.util.TimeZone class in more detail in my Java Date Time tutorial, in the TimeZone class.",java.util.timezone: class; timezone: class; java.util: package,F,F,F
"These examples build a RionObjectWriter which will serialize all fields (private, protected, default and public) found in the Pojo class to RION.",,F,F,F
"Local classes cannot contain all kinds of static declarations (constants are allowed - variables declared static final), because local classes are non-static in nature - even if declared inside a static method.",,F,F,F
"In other words, if the Iterator has not yet iterated over all of the elements in the collection the Iterator was obtained from - the hasNext() method will return true.",iterator: interface; hasnext(): method,"T, T","T, T","T, T"
Loading classes dynamically must therefore also be done using a java.lang.ClassLoader subclass.,java.lang.classloader: class,T,T,T
Notice how there is no longer any explicit close() method call to the FileReader instance.,close(): method; filereader: class,"T, T","T, T","T, T"
"As parameters to the completed() method are passed an Integer telling how many bytes were read, and the ""attachment"" which was passed to the read() method.",completed(): method; read(): method,"T, T","T, T","T, T"
That is why Java 5 got a whole set of concurrency utility classes to help developers implement more fine grained concurrency control than what you get with synchronized.,,F,F,F
To use the Path interface and the Paths class we must first import them.,path: interface; paths: class,"T, T","T, T","T, T"
The visitFileFailed() method is called in case visiting a file fails.,visitfilefailed(): method,T,T,T
The start() call will return as soon as the thread is started. It will not wait until the run() method is done.,start(): method; run(): method,"T, T","T, T","T, T"
I usually do something like this to obtain the class name for primitives as well as objects:,class: class,F,F,F
"The Buffer.rewind() sets the position back to 0, so you can reread all the data in the buffer.",buffer.rewind(): method,F,T,T
It is the Arrays.asList() method that converts the array to a List.,arrays.aslist(): method,T,T,T
"For now, the translateEscapes() is a preview feature, so it is not yet sure that it will stay in Java.",translateescapes(): method,T,T,T
"If a message cannot fit into the 4KB buffer, a larger buffer of e.g.",,F,F,F
You can write a single byte to a RandomAccessFile using its write() method which takes an int as parameter.,randomaccessfile: class; write(): method,"T, T","T, T","T, T"
What is interesting about this version is the implementation of the inc() method.,inc(): method,T,T,T
"If you created your SortedSet with a Comparator, you can obtain that Comparator via the SortedSet comparator() method.",sortedset: interface; comparator: interface; comparator(): method,F,F,F
The second System.out.println() statement is not executed until after the for loop is finished.,system.out.println(): method,T,T,T
The compareAndSet() method can compare the reference stored in the AtomicStampedReference instance with an expected reference and the stored stamp with an expected stamp and if they two references and stamps are the same (not equal as in equals() but same as in ==) then a new reference can be set on the AtomicStampedReference instance,compareandset(): method; atomicstampedreference: class; equals(): method,"T, T, T","T, T, T","T, T, T"
"The TokenReplacingReader is itself a subclass of java.io.Reader, so any class that can use a Reader, can use a TokenReplacingReader.",tokenreplacingreader: class; java.io.reader: class,"T, T, T","T, T, T","T, T, T"
The Java PrintWriter class (java.io.PrintWriter) enables you to write formatted data to an underlying Writer.,java.io.printwriter: class,T,T,T
"Its a tree of packages, subpackages and classes inside these classes.",packages: package; subpackages: package; classes: class; classes: class,F,F,F
"Once you have a reference to the Class object representing some class, you can see what fields that class contains.",class: class,F,F,F
"For a full POM file, check out the pom.xml in this github repository: RION Ops for Java GitHub Repository",,F,F,F
To make it easy for you to write your first JMH benchmark I will just use the generated class in this example.,,F,F,F
Here is a code example that finds getter and setters of a class:,,F,F,F
In general you can call the markSupported() method to find out if mark() and reset() are supported on a given InputStream or not but the BufferedInputStream supports them,marksupported(): method; mark(): method; reset(): method; inputstream: class; bufferedinputstream: class,"T, T, T, T","T, T, T, T","T, T, T, T"
Here is an example of reading a Java Boolean object using the RionReader readBooleanObj() method:,readbooleanobj(): method,T,T,T
Instead of the class MyCustomObjectMapper you should use your own class.,,F,F,F
"That means, that the member variable time inside the Clock class cannot be accessed from code outside the Clock class.",clock: class,T,T,T
"After executing the list.subList(1,3) instruction the sublist will contain the elements at index 1 and 2.",sublist: method,F,F,F
At the bottom of the class hierarchy you have the subclasses.,class: class,F,F,F
"In the example above the ""System.out.println(""Division attempt done"");"" statement will always get executed.",system.out.println: method,T,T,T
"You create a digital signature by calling the update() method one or more times, finishing with a call to sign().",update(): method; sign(): method,"T,T","T,T","T,T"
When you do so you can call connect() read() and write() in asynchronous mode,connect(): method; read(): method; write(): method,"T, T, T","T, T, T","T, T, T"
The limit() method returns a new Stream which will at most contain the given number of elements.,limit(): method; stream: class,F,F,F
"If you look at the example in the previous section, imagine what happens if an exception is thrown between the call to lock.lock() and lock.unlock() .",lock.lock(): method; lock.unlock(): method,"T, T","T, T","T, T"
"Java has 3 streams called System.in, System.out, and System.err which are commonly used to provide input to, and output from Java applications.",system.in: class; system.out: class; system.err: class;,F,F,F
"Only if you return the exact same object from the initialValue() method, will all threads see the same object.",initialvalue(): method,T,T,T
This is different from poll() which returns null if the Deque is empty.,poll(): method; deque: interface,"T, T","T, T","T, T"
"After that, the while loop exits, and the InputStream close() method is called.",inputstream.close(): method,T,T,T
A Duration object (java.time.Duration) represents a period of time between two Instant objects.,duration: class; instant: class; java.time.duration: class,F,F,F
The get() method returns the value of the element with the given index.,get(): method,T,T,T
"Notice that the Spaceship class already implements the Comparable interface which compares Spaceship objects on spaceshipClass first, and then registrationNo.",spaceship: class; comparable: interface,"T, T","T, T","T, T"
In this text I will try to give you an overview of the classes in the Java IO (java.io) package.,java.io: package,T,T,T
"For instance, the character class [a-z] will match all characters between a lowercase a and a lowercase z, both a and z included.",,F,F,F
"A Java interface is a bit like a Java class, except a Java interface can only contain method signatures and fields.",java interface: interface; java class: class,F,F,F
After calling read() the example loops until the isDone() method of the returned Future returns true,read(): method; isdone(): method; future: class,"T, T, T","T, T, T","T, T, T"
The Java FileOutputStream class contains a set of different useful constructors.,fileoutputstream: class,T,T,T
"You can also attach an object already while registering the Channel with the Selector, in the register() method.",register(): method; channel: class; selector: class,"T, T, T","T, T, T","T, T, T"
"This import statement should be at the top of your Java class, right under the package declaration.",class: class; package: package,F,F,F
The RionWriter class has functionality that helps you reserve length bytes for composite RION fields and jump back up and fill them in correctly later.,rionwriter: class,T,T,T
The Matcher appendReplacement() and appendTail() methods are used to replace string tokens in an input text and append the resulting string to a StringBuffer,matcher.appendreplacement(): method; matcher.appendtail(): method; stringbuffer: class,"T, T, T","T, T, T","T, T, T"
First I will show you the class I want to test:,class: class,F,F,F
"If you don't know the name at compile time, but have the class name as a string at runtime, you can do like this:",,F,F,F
Calling addAndGet() is also an atomic operation (like all operations on the AtomicLongArray).,addandget(): method; atomiclongarray: class,"T, T","T, T","T, T"
"Too look at the list of available Maven archetypes, you can pipe the output into a file, and open that file in e.g.",,F,F,F
A class is a way of grouping data and instructions that belong together.,class: class,F,F,F
Each of these strings are included in the String array returned by the split() method.,split(): method,T,T,T
"These classes are similar to the classes found in the Java Networking API, except the Java NIO API can work in non-blocking mode.",java networking api: package; java nio api: package,F,F,F
See the JavaDoc for the Locale class for more detail about variant.,locale: class,T,T,T
"The thread calling unlock() will take the top QueueObject in the queue and call doNotify() on it, to awaken the thread waiting on that object.",unlock(): method; donotify(): method,"T, T","T, T","T, T"
By calling flush() you can assure that any buffered data will be flushed (written) to disk.,flush(): method,T,T,T
Notice how notifyAll() is only called from enqueue() and dequeue() if the queue size is equal to the size bounds (0 or limit),notifyall(): method; enqueue(): method; dequeue(): method,"T, T, T","T, T, T","T, T, T"
"Of course, if the insertIntoArray() method is located in a different class than the above code, you would need an object of that class in order to be able to call the method.",insertintoarray(): method,T,T,T
"Therefore, everytime you want to reload a class you must use a new instance of your ClassLoader subclass.",classloader: class,T,T,T
This is different than remove() which throws an exception if the Deque is empty.,remove(): method; deque: class,"T, T","T, T","T, T"
Through the java.sql.DatabaseMetaData interface you can obtain meta data about the database you have connected to.,java.sql.databasemetadata: interface,T,T,T
The Java compiler then generates the corresponding fields getter methods and a hashCode() and equals() method,hashcode(): method; equals(): method,"T, T","T, T","T, T"
The Pattern class is covered separately in my Java Regex Pattern tutorial.,pattern: class,T,T,T
The RionReader class has a method named readUtf8String() which can read a RION UTF-8 field into a Java String.,,F,F,F
"When inspecting a parameterizable type itself at runtime via reflection, like java.util.List, there is no way of knowing what type is has been parameterized to.",java.util.list: class,T,T,T
When you create an instance of a class (an object) the object can have methods you can execute.,class: class; methods: method,F,F,F
"More specifically, the elements of each array are compared one by one using their equals() method.",equals(): method,T,T,T
"a stop() or pause() method too), then you can no longer create your Runnable implementation with a Java lambda expression.",stop(): method; pause(): method; runnable: interface; lambda expression: method,F,F,F
For each call to release() a permit is returned to the semaphore.,release(): method; semaphore: class,"T, T","T, T","T, T"
"Using Java generics in your own classes is described in more detail in the tutorials about generic classes, generic methods and using class objects as type literals.",,F,F,F
"Once all the data is written to it, simply call the method toByteArray() or toCharArray, and all the data written is returned in array form.",tobytearray: method; tochararray: method,"T, T","T, T","T, T"
"In other words: The ImmutableValue class is thread safe, but the use of it is not.",immutablevalue: class,T,T,T
You could view the LocalDateTime as a combination of the LocalDate and LocalTime classes of the Java 8 date time API.,localdatetime: class; localdate: class; localtime: class,"T, T, T","T, T, T","T, T, T"
Notice how there is no longer any explicit close() method call to the CharArrayWriter instance.,chararraywriter: class; close(): method,"T, T","T, T","T, T"
Here are two examples of taking an element from a Java Queue using its poll() and remove() methods:,poll(): method; remove(): method,"T, T","T, T","T, T"
The rules for read access are implemented in the lockRead() method.,lockread(): method,T,T,T
Before you can use a Java Deque you must create an instance of one of the classes that implements the Deque interface.,deque: interface,T,T,T
"multiple blocks from a large file, you call the update() once for each block of data, and finish with a call to doFinal() with the last data block.",update(): method; dofinal(): method,"T, T","T, T","T, T"
This outline mostly serves to show you the interface of the RollingBufferInputStream class.,rollingbufferinputstream: class,T,T,T
The list() method returns an array of String's with the file and / or directory names of directory the File object points to.,list(): method,T,T,T
This example starts the server and instructs it to listen on TCP port 10.000 .,,F,F,F
Notice how the second call to Stream map() is called on the Stream returned by the first map() call.,stream: class; map(): method,F,F,F
The Java Certificate getEncoded() method returns an encoded version of the Certificate as a byte array.,getencoded(): method; certificate: class,"T, T","T, T","T, T"
"Once this thread then exits the synchronized block in the doWait() method, the other threads can exit the wait() call and check the wasSignalled member variable inside the while loop.",wait(): method,T,T,T
"The expression map instanceof Object will evaluate to true if the map variable references an object that is an instance of class Object, or any subclass of class Object.",object: class,F,T,T
"Annotations are defined in their own file, just like a Java class or interface.",java: class; interface: interface,F,F,F
"Notice how the buffers are first inserted into an array, then the array passed as parameter to the channel.read() method.",channel.read(): method,T,T,T
"The Java List interface, java.util.List, represents an ordered sequence of objects.",java.util.list: interface,T,T,T
"*/ public void incB() { this.countB++; } /** * Many reading threads may call this method */ public long countA() { return this.countA; } /** * Many reading threads may call this method */ public long countB() { return this.countB; } } As you can see, the DoubleWriterCounter now contains two volatile variables, and two pairs of incrementation and read methods.",incb: method; counta: method; countb: method,"T, T, T","T, T, T","T, T, T"
The main difference between the Runnable run() method and the Callable call() method is that the call() method can return an Object from the method call,runnable: interface; callable: interface; run(): method; call(): method,"T, T, T, T","T, T, T, T","T, T, T, T"
The System class also has a getProperty() and setProperty() method which are shortcuts to the Properties getProperty() and setProperty() methods of the System Properties instance,,F,F,F
"In this case, these parameters have to match the parameters of the onStateChange() method of the StateChangeListener interface:",onstatechange(): method; statechangelistener: interface,"T, T","T, T","T, T"
Here is how copying a full array using Arrays.copyOfRange() in Java looks:,arrays.copyofrange(): method,T,T,T
It is these keys you can access via the selectedKeySet() method.,selectedkeyset(): method,T,T,T
"Below here is the PoolThreadRunnable class which implements the Runnable interface, so it can be executed by a Java thread:",poolthreadrunnable: class; runnable: interface,"T, T","T, T","T, T"
The getFirst() method returns the first element from the beginning (head) of a Java Deque without removing it.,getfirst(): method; deque: interface,"T, T","T, T","T, T"
The first way to specify an initial value for a Java ThreadLocal variable is to create a subclass of ThreadLocal which overrides its initialValue() method.,threadlocal: class; initialvalue(): method,"T, T","T, T","T, T"
Support for Scala and Clojure should be arriving soon (it was originally planned for v. 3.0 but I am not sure if they got it in).,,F,F,F
Methods are operations that the class or instances of that class can perform.,methods: method; class: class,F,F,F
Formatting a number as a percentage is also done using the format() method.,format(): method,T,T,T
The hashtable then iterates this area (all keys with the same hash code) and uses the key's equals() method to find the right key.,equals(): method,T,T,T
"Therefore, there are several classes in Java that implements the Java Iterable interface.",iterable: interface,T,T,T
"If you need to set a date on a java.sql.PreparedStatement or get a date from a java.sql.ResultSet, you will interact with java.sql.Date.",java.sql.preparedstatement: class; java.sql.resultset: class; java.sql.date: class; java.sql: package,"T, T, T, T","T, T, T, T","T, T, T, T"
Notice the enum keyword which is used in place of class or interface.,class: class; interface: interface,F,F,F
The access modifier determines which object classes that can access the field.,classes: class,F,F,F
"Third, this example calls the myTask doLast() method, passing along another closure as parameter.",dolast(): method,T,T,T
The doSomethingWithData() method implementation has been left out of this example to keep it short.,dosomethingwithdata(): method,T,T,T
The getThreadID() method returns the ID of the thread logging the message represented by this LogRecord.,getthreadid(): method; logrecord: class,"T, T","T, T","T, T"
The text parameter passed to the getInstance() method is the name of the concrete message digest algorithm to use.,getinstance(): method,"T, T","T, T","T, T"
Here is an example of obtaining the last key of a SortedMap via its lastKey() method:,sortedmap: interface; lastkey(): method,"T, T","T, T","T, T"
Make sure that the business logic component does not know anything about the boundary classes.,,F,F,F
"The assertThat() method just takes care of the ""plumming"" - meaning calling the Matcher with the given object.",assertthat(): method,T,T,T
"Look at the following lines of Java code: Car car = new Car(); car.setLicensePlate(""123""); car.updateLicensePlate(""abc""); System.out.println(""license plate: "" + car.getLicensePlate()); This Java code will print out the text 123.",system.out.println: method,T,T,T
"Therefore, if a thread calls notify() before the thread to signal has called wait(), the signal will be missed by the waiting thread.",notify(): method; wait(): method,"T, T","T, T","T, T"
"In other words, to make the classes using the interface independent of the classes implementing the interface.",interface: interface; classes: class; classes: class,F,F,F
"Basically what you will do is call a ThreadLocal.set() method with the Locale to associate with the calling thread, before calling container.instance().",threadlocal.set(): method,T,T,T
The name of a resource bundle is like a class name.,resource bundle: class; class name: class,F,F,F
You can compare java.util.Date instance because the class implements the java.lang.Comparable interface.,java.util.date: class; java.lang.comparable: interface,"T, T","T, T","T, T"
"Here is an example showing a class referencing an interface, an abstract class implementing that interface, and a subclass extending the abstract class.",,F,F,F
The Handler's handle() method is called every time the time interval has elapsed.,handle(): method,T,T,T
The System class also has a getProperty() and setProperty() method which are shortcuts to the Properties getProperty() and setProperty() methods of the System Properties instance.,system: class; getproperty(): method; setproperty(): method; properties: class; getproperty(): method; setproperty(): method; system properties: class,T,T,T
Nested classes are Java classes that are defined inside another class.,nested classes: class,F,F,F
"As you can see, the method call to myUnit.getTheBollean() is inlined inside the assertTrue() assertFalse() calls.",asserttrue(): method; assertfalse(): method,"T, T","T, T","T, T"
Note: If you are want to Java NIO (Java's non-blocking IO API) you will have to use the java.nio.FileChannel class instead.,java.nio.filechannel: class,T,T,T
"Each factory definition states how a given instance is to be created and configured, when calling the container.instance() method.",,F,F,F
"After running this Java code the isEmpty variable will contain the value true, because the Set size() method returns 0 - because the Set in the example contains no elements.",set: class; size(): method,T,T,T
"If the BlockingQueue does not have space for the new element, the put() method will block the thread calling the put() method until the BlockingQueue as space internally for the new element.",blockingqueue: interface; put(): method,"T, T","T, T","T, T"
When using Java reflection the starting point is often a Class object representing some Java class you want to inspect via reflection.,class: class,F,F,F
"While it is normally possible for a class to implement multiple interfaces even if the interfaces contain methods with the same signature, this is not possible if one or more of these methods are default methods.",,F,F,F
The purpose of abstract classes is to function as base classes which can be extended by subclasses to create a full implementation.,abstract classes: class,F,F,F
"Third, the example loops as long as hasNext() returns true, and iterates through all the RION fields in the source byte array, one by one.",,F,F,F
"The read() method will start writing data into the byte array starting from the array position provided by the offset parameter, and at most the number of bytes provided by the length parameter.",read(): method,T,T,T
"Second, it sets the expiration to 24 hours using the setMaxAge() method.",setmaxage(): method,T,T,T
Having missing modules reported at application startup time is a big advantage compared to at runtime when trying to use the missing module / JAR / class.,,F,F,F
Here is a Java example of writing a RION Bytes field from a byte array using the RionWriter writeBytes() method:,rionwriter.writebytes(): method,T,T,T
"Note: The two threads must call parent.addChild(child) and child.setParent(parent) at the same time as described above, and on the same two parent and child instances for a deadlock to occur.",addchild: method; setparent: method,"T, T","T, T","T, T"
The condition to exit the while loop is the return value of the method hasMoreData().,hasmoredata(): method,T,T,T
"You can write text as superscript or subscript using the Chunk class, and it's setTextRise() method.",,F,F,F
"When a Java project grows bigger, for instance an app or API, it is useful to split the code into multiple Java classes, and the classes into multiple Java packages.",,F,F,F
The end() method can take either a String or Buffer as parameter.,end(): method,T,T,T
Both Java File and FileChannel works but in case you want a pure Java NIO solution use the Java NIO FileChannel class,file: class; filechannel: class,"T, T","T, T","T, T"
In case you prefer to use Java NIO instead of Java Networking (standard API) then you can also use a ServerSocketChannel instead of the java.net.ServerSocket,serversocketchannel: class; java.net.serversocket: class,"T, T","T, T","T, T"
Keep in mind that if some of the operations in the transaction fail you would most likely want to call the rollback() method instead of commit(),rollback(): method; commit(): method,"T, T","T, T","T, T"
You can get and set the nanoseconds using the getNanos() and setNanos(),getnanos(): method; setnanos(): method,"T, T","T, T","T, T"
You may be tempted then to always call notifyAll() instead notify() but this is a bad idea performance wise,notifyall(): method; notify(): method,"T, T","T, T","T, T"
"So, the current version of the Lock class makes no different guarantees with respect to fairness than synchronized version of doSynchronized().",lock: class; dosynchronized(): method,"T, T","T, T","T, T"
"Running the clean task removes the build directory, and thus all compiled classes and created JAR files.",clean: method; build: method; directory: class; classes: class; jar: class,F,F,F
The trim() method is an easy way to remove such extra white space characters.,trim(): method,T,T,T
InputStream.read() example creates an AsynchronousFileChannel and then creates a ByteBuffer which is passed to the read() method as parameter along with a position of 0,inputstream.read(): method; asynchronousfilechannel: class; bytebuffer: class; read(): method,"T, T, T, T","T, T, T, T","T, T, T, T"
The FileInputStream class has a three different constructors you can use to create a FileInputStream instance.,fileinputstream: class,T,T,T
"Once you have allocated a block of bytes from the BytesAllocatorAutoDefrag you can access it via the data array, from the offset returned by allocate() and until offset + length - 1.",,F,F,F
"If there are no more lines to read from the BufferedReader, the readLine() method returns null.",bufferedreader: class; readline(): method,"T, T","T, T","T, T"
"This is easier to understand with an example, so here is a Java Function compose() example:",compose(): method,T,T,T
"In case you want to pass parameters to the constructor, you include the parameters between the parentheses after the class name, like this:",,F,F,F
"This example compared to String objects, but the assertEquals() method can compare any two objects to each other.",string: class; assertequals(): method,"T, T","T, T","T, T"
"The order of the sorting in a Java SortedMap is either the natural sorting order of the elements (if they implement java.lang.Comparable), or the order determined by a Comparator that you can give to the SortedSet.",java.lang.comparable: interface; comparator: interface; sortedmap: class; sortedset: class,"T, T, T, T","T, T, T, T","T, T, T, T"
The AtomicBoolean class is located in the java.util.concurrent.atomic package so the full class name is java.util.concurrent.atomic.AtomicBoolean,java.util.concurrent.atomic.atomicboolean: class; java.util.concurrent.atomic: package,"T, T","T, T","T, T"
The compiled classes are written to build/classes and the JAR file to build/libs .,,F,F,F
The unused classes makes your application distributable bigger than it needs to be.,classes: class,F,F,F
"You can add underline and strikethrough text using the Chunk class, and its setUnderline() method.",chunk: class; setunderline(): method,T,T,T
Here is an example of calling the static print() method from the above MyInterface interface:,print(): method; myinterface: interface,"T, T","T, T","T, T"
"To access a private method you will need to call the Class.getDeclaredMethod(String name, Class[] parameterTypes) or Class.getDeclaredMethods() method.",class.getdeclaredmethod: method; class.getdeclaredmethods: method,"T, T","T, T","T, T"
"If you have a single block of data to calculate a message digest from, use the digest() method.",digest(): method,T,T,T
"The PrintStream class can format primitive types like int, long etc.",printstream: class,T,T,T
