Dependency,"One entity relies on another entity for its functionality, operation, or execution.  ","['uses', 'relies on', 'needs to use', 'requires encoding', 'requires check with', 'operates on', 'requires', 'requires invocation', 'enables', 'utilizes', 'enables access to', 'pass as', 'call order', 'implies', 'measure dependency', 'measure cost with', 'depends on', 'passed to', 'accessed on', 'controlled by', 'depend on', 'set with', 'covariant to', 'suggests not', 'required as parameter', 'calls']"
Conversion,"One entity is transformed into another format, type, or representation.  ","['mapped to', 'convert to', 'converted to', 'convert from', 'converts to', 'convert', 'compiles to', 'parses to', 'represent as', 'becomes', 'mutable version of', 'wraps the code inside', 'improvement method', 'transforms to', 'result in', 'transforms', 'reflects changes', 'represents result with']"
Preference,One entity is favored or chosen over another entity based on specific criteria.  ,"['preferred for readability', 'specific purpose', 'should use instead', 'safer and preferred over', 'is default for', 'is preferred over', 'general purpose', 'is recommended over', 'preferred over', 'provides default value instead of', 'prefer over', 'preferred for read-only API over']"
Collaboration,Two entities work or interact together to achieve a shared goal or perform complementary roles.  ,"['work together with', 'works together with', 'combine with', 'used with', 'complement', 'this is related to', 'works with', 'complementary to', 'complements', 'combined with', 'shares common membership with', 'is used with', 'collaborates with', 'solution involves', 'combines with']"
Implementation,One entity is created or executed to fulfill the specifications of another entity.  ,"['requires manual creation', 'defined by', 'may be implemented by', 'an instance of Function will be created here', 'implements interface for', 'implemented by', 'singleton implementation of', 'implements']"
Containment,One entity is a part of or is included within another entity.  ,"['part of', 'used in', 'available in', 'already exists in']"
Limitation,One entity imposes restrictions or defines boundaries on the use or behavior of another entity.  ,"['share limitations with', 'checks nullability of', 'enforces non-null assignment', 'operates safely', 'returns null in', 'limits usage of', 'checked by', 'backgrounds blocking code', 'limits', 'limits retention of', 'suspension control returns to', 'Int)', 'incompatible with', 'skip elements and limit result', 'conditionally throws', 'limits invocation of', 'does not include', 'complicates', 'flexible initialization', 'avoids stopping threads', 'controls resumption by', 'ensures immutability', 'has different rules from', 'limits visibility of', 'dependency on equals', 'does not propagate exception', 'does not support', 'checks after completion', 'operates lazily until', 'avoid starting or stopping threads', 'is not assignable to', 'enforces visibility on', 'used if returns null', 'overused with', 'involves boxing', 'can be both nullable and non-null', 'should be accessed in']"
Difference,"One entity is compared to another entity, highlighting distinctions in behavior, functionality, or conditions.  ","['efficiency comparison', 'dependency version difference', 'provides different results', 'transformation method differs in result type', 'is more consistent than', 'has less functionality than', 'more asynchronous and consistent than', 'is different from', 'differs at thread blocking level', 'slower than', 'compares types of error', 'different for', 'rethrows exceptions unlike', 'faster than', 'differs in storage type from', 'differs in resource handling', 'different in handling predicate', 'different in functionality', 'thread-safe by default compared to', 'contrasts with', 'indexing vs', 'differs in type instance from', 'stands in contrast to', 'different in concurrency structure', 'has more functionality compared to', 'differs in usage', 'returns different value based on match']"
Replacement,"One entity substitutes another entity, offering an improved alternative or serving as a successor.  ","['can be replaced by', 'suggests alternative to', 'deprecated in favor of', 'replaced by', 'alternative to', 'deprecated', 'is replaced by', 'alternatives', 'replace with', 'will replace', 'predecessor of', 'downgrade to']"
Modification,One entity alters or modifies another entity.,"['workaround for lack of', 'run another runnable', 'supports', 'explained with', 'support integration with', 'allows content exposure', 'exposed as fields to', 'provides', 'used by', 'seeded by', 'enable functionality', 'catches intent', 'highlights', 'helps access', 'is discussed in']"
Equivalence,"One entity has similar behavior, functionality, or purpose to another entity.  ","['similar in usage to', 'similarity in output', 'similar to', 'operate on and return same object', 'similar state issues', 'same implementation behavior as', 'similar usage to', 'corresponds to', 'same purpose as', 'similar in exposure', 'achieves the same result as', 'is used similarly as', 'similar purpose as', 'returns same result as', 'is similar to']"
Extension,One API entity adds new functionality or behavior to another existing API entity.,"['is an extension of', 'extends']"
Delegation,One API entity transfers part or all of its responsibilities to another API entity.,"['delegated to', 'delegates methods to', 'delegates emissions to', 'delegates functionality to']"